pottername	limes	count
Ego (Ego-)?	Elisabethenstrasse	2
Felicio i	Elisabethenstrasse	1
Felix i	Elisabethenstrasse	9
Firmo i	Elisabethenstrasse	3
Firmo ii	Elisabethenstrasse	1
Flavius Germanus (L. Flavius Germanus)	Elisabethenstrasse	12
Formosus	Elisabethenstrasse	1
Frontinus	Elisabethenstrasse	1
Fronto ii	Elisabethenstrasse	2
Germanus i	Elisabethenstrasse	2
Ingenuus ii	Elisabethenstrasse	2
Iucundus ii	Elisabethenstrasse	2
Iucundus iii	Elisabethenstrasse	5
Iullinus i	Elisabethenstrasse	4
Iustus i	Elisabethenstrasse	2
L. Cosius	Elisabethenstrasse	1
L. Cosius Virilis	Elisabethenstrasse	3
L. Ter- Secundus	Elisabethenstrasse	2
L. Tr- Masculus	Elisabethenstrasse	1
Labio	Elisabethenstrasse	4
Lauratus	Elisabethenstrasse	1
Legitumus	Elisabethenstrasse	1
Lentu-	Elisabethenstrasse	2
Lepidus ii	Elisabethenstrasse	1
Libertus i	Elisabethenstrasse	3
Licinus	Elisabethenstrasse	7
Logirnus	Elisabethenstrasse	2
Lucceius i	Elisabethenstrasse	1
Lucius ii	Elisabethenstrasse	1
M. Crestio (M- Crestio)	Elisabethenstrasse	1
Maccarus i	Elisabethenstrasse	8
Mando	Elisabethenstrasse	1
Manduilus	Elisabethenstrasse	1
Mansuetus i (Masuetus)	Elisabethenstrasse	2
Martialis i	Elisabethenstrasse	1
Masclinus	Elisabethenstrasse	1
Masclus i (Masculus)	Elisabethenstrasse	8
Matugenus ii	Elisabethenstrasse	3
Meddillus (Mesillus)	Elisabethenstrasse	2
Memor	Elisabethenstrasse	4
Mercator i (Mercatoris)?	Elisabethenstrasse	4
Modestus i	Elisabethenstrasse	10
Mommo	Elisabethenstrasse	4
Momo	Elisabethenstrasse	1
Mon- i	Elisabethenstrasse	1
Mona-	Elisabethenstrasse	1
Monic-?	Elisabethenstrasse	1
Montanus i	Elisabethenstrasse	5
Montius (Montus)?	Elisabethenstrasse	1
Murranus i	Elisabethenstrasse	6
Nequres	Elisabethenstrasse	1
Nestor	Elisabethenstrasse	1
Niger ii	Elisabethenstrasse	10
Niger ii-And-	Elisabethenstrasse	2
Ocel- (Oces-)?	Elisabethenstrasse	1
Paestor	Elisabethenstrasse	1
Passenus (Passienus)	Elisabethenstrasse	6
Patricius i	Elisabethenstrasse	15
Paullus i (Paulus)	Elisabethenstrasse	4
Perrus (Perus)	Elisabethenstrasse	1
